village,n_suspect,n_same_timestamp,n_below_flight,n_short_lt120,min_activate_to_arrive,median_activate_to_arrive,n_total,pct_suspect
Point Hope,11,0,1,11,0.5333333333333599,104.51666666666668,71,15.5
Buckland,10,0,0,10,88.68333333333331,106.00833333333333,37,27.0
Kivalina,8,0,0,8,99.04999999999998,113.15,23,34.8
Selawik,6,0,1,6,3.783333333333331,112.59166666666667,49,12.2
Noatak,5,0,0,5,111.35,115.18333333333317,26,19.2
Kiana,2,0,0,2,104.65000000000003,108.27500000000002,16,12.5
Ambler,1,0,0,1,110.0,110.0,10,10.0
Deering,1,0,0,1,117.43333333333334,117.43333333333334,8,12.5
Shungnak,1,0,0,1,99.96666666666668,99.96666666666668,12,8.3
